d1,d2,d3,x,y,z,value,label
70,92,21,1.55897434055805,-0.737790524959564,-3.52155131101608,9.499, Agranular Dysgranular Insular Cortex_left
83,75,72,3.69230774044991,-3.52499973773956,4.83189688622952,7.461,right Primary Visual Cortex
47,46,56,-2.2153847515583,-8.27965074777603,2.21120725572109,7.443,left Molecular Layer of the Cerebellum_left
87,88,39,4.34871801733971,-1.39360445737839,-0.573275476694107,7.414,right Striatum
85,45,37,4.02051287889481,-8.44360423088074,-0.90086168050766,7.341,right Middle Cerebellar Peduncle 
14,86,40,-7.63076953589916,-1.7215114235878,-0.409482374787331,7.223,left Primary Auditory Cortex_left
68,111,63,1.23076920211315,2.37732565402985,3.35775896906853,6.639,right Primary Cingular Cortex
39,45,26,-3.52820530533791,-8.44360423088074,-2.7025858014822,5.581,left Brainstem_left
49,80,54,-1.8871796131134,-2.70523232221603,1.88362105190754,5.443,left Dentate Gyrus_left
43,9,33,-2.8717950284481,-14.3459296226501,-1.55603408813477,5.371, Agranular Dysgranular Insular Cortex_left
34,79,20,-4.34871815145016,-2.86918580532074,-3.68534441292286,5.325,left Entorhinal Cortex_left
38,99,70,-3.69230787456036,0.409883856773376,4.5043106824159604,5.304,left Primary Somatosensory Cortex Forelimb_left
67,61,16,1.0666666328907,-5.82034850120544,-4.34051682054996,4.967, Agranular Dysgranular Insular Cortex_left
51,143,64,-1.5589744746685,7.62383711338043,3.5215520709753,4.723,left Frontal Association Cortex_left
16,44,35,-7.30256439745426,-8.60755771398544,-1.22844788432121,4.653,left Granule Cell Level of the Cerebellum_left
80,29,61,3.20000003278255,-11.066859960556,3.03017276525497,4.602,right Molecular Layer of the Cerebellum
95,117,48,5.66153857111931,3.36104655265808,0.900862440466881,4.588,right Primary Somatosensory Cortex Upperlips
55,171,61,-0.902564197778702,12.2145346403122,3.03017276525497,3.937,left Olfactory Bulb_left
32,126,64,-4.67692328989506,4.83662790060043,3.5215520709753,3.698, Agranular Dysgranular Insular Cortex_left
24,103,24,-5.98974384367466,1.0656977891922,-3.03017200529575,3.653, Agranular Dysgranular Insular Cortex_left
58,131,33,-0.410256490111351,5.65639531612396,-1.55603408813477,3.413,left Olfactory Bulb_left
50,113,17,-1.72307704389095,2.70523262023926,-4.17672371864319,3.099, Agranular Dysgranular Insular Cortex_left
51,79,21,-1.5589744746685,-2.86918580532074,-3.52155131101608,-8.034, Agranular Dysgranular Insular Cortex_left
27,36,34,-5.49743613600731,-9.91918557882309,-1.39224098622799,-7.805,left Granule Cell Level of the Cerebellum_left
93,112,35,5.33333343267441,2.54127913713455,-1.22844788432121,-7.542,right Entorhinal Cortex
51,123,42,-1.5589744746685,4.34476745128632,-0.0818961709737778,-7.448,left PreLimbic System_left
42,18,44,-3.03589759767056,-12.8703482747078,0.245690032839775,-7.329,left Molecular Layer of the Cerebellum_left
63,98,50,0.4102563560009,0.245930373668671,1.22844864428043,-6.753,right Ventral Hippocampal Commissure
89,81,62,4.67692315578461,-2.54127883911133,3.19396586716175,-6.415,right Parietal Cortex Postero Rostral
24,66,50,-5.98974384367466,-5.00058108568192,1.22844864428043,-6.058,left Corpus Callosum and Associated Subcortical White Matter_left
67,163,51,1.0666666328907,10.9029067754745,1.39224174618721,-5.956,right Olfactory Bulb
72,34,50,1.88717947900295,-10.2470925450325,1.22844864428043,-5.846,right Granule Cell Level of the Cerebellum
71,70,42,1.7230769097805,-4.34476715326309,-0.0818961709737778,-4.92,right Brainstem
99,66,21,6.31794884800911,-5.00058108568192,-3.52155131101608,-4.899, Agranular Dysgranular Insular Cortex_left
100,30,34,6.48205141723156,-10.9029064774513,-1.39224098622799,-4.88,right Molecular Layer of the Cerebellum
85,123,60,4.02051287889481,4.34476745128632,2.8663796633482,-4.675,right Primary Somatosensory Cortex Jaw
46,115,74,-2.37948732078075,3.03313958644867,5.15948309004307,-4.611, Agranular Dysgranular Insular Cortex_left
77,103,74,2.7076923251152,1.0656977891922,5.15948309004307,-4.324, Agranular Dysgranular Insular Cortex_left
69,15,19,1.3948717713356,-13.3622087240219,-3.84913751482964,-4.227,right Brainstem
50,62,53,-1.72307704389095,-5.65639501810074,1.71982795000076,-4.172,left Deeper Layers of the Superior Colliculus_left
25,38,60,-5.82564127445221,-9.59127861261368,2.8663796633482,-3.738, Agranular Dysgranular Insular Cortex_left
55,47,14,-0.902564197778702,-8.11569726467133,-4.66810302436352,-3.211,left Brainstem_left
102,61,51,6.81025655567646,-5.82034850120544,1.39224174618721,-3.001, Agranular Dysgranular Insular Cortex_left
32,88,62,-4.67692328989506,-1.39360445737839,3.19396586716175,-2.867,left Lateral Parietal Associative Cortex_left
56,28,70,-0.738461628556252,-11.2308134436607,4.5043106824159604,-2.832, Agranular Dysgranular Insular Cortex_left
