d1,d2,d3,x,y,z,value,label
61,37,39,0.0820512175559998,-9.75523209571838,-0.573275476694107,8.414,right Molecular Layer of the Cerebellum
87,98,37,4.34871801733971,0.245930373668671,-0.90086168050766,7.016,right Striatum
62,106,31,0.24615378677845,1.55755823850632,-1.88362029194832,7.01,right Basal Forebrain Region
78,84,73,2.87179489433765,-2.04941838979721,4.99568998813629,6.865,right Lateral Parietal Associative Cortex
53,84,75,-1.2307693362236,-2.04941838979721,5.32327619194984,6.708,left Retosplenial Dysgranular Cortex_left
28,44,33,-5.33333356678486,-8.60755771398544,-1.55603408813477,6.292,left Molecular Layer of the Cerebellum_left
70,64,60,1.55897434055805,-5.32848805189133,2.8663796633482,6.282,right Parasubiculum
73,67,30,2.0512820482254,-4.83662760257721,-2.04741339385509,6.106,right Substantia Nigra
79,88,14,3.0358974635601,-1.39360445737839,-4.66810302436352,6.085, Agranular Dysgranular Insular Cortex_left
36,88,15,-4.02051301300526,-1.39360445737839,-4.50430992245674,6.033, Agranular Dysgranular Insular Cortex_left
65,108,56,0.738461494445801,1.88546520471573,2.21120725572109,5.803,right Corpus Callosum and Associated Subcortical White Matter
45,77,50,-2.5435898900032,-3.19709277153015,1.22844864428043,5.764,left Thalamus_left 
49,52,64,-1.8871796131134,-7.2959298491478,3.5215520709753,5.67, Agranular Dysgranular Insular Cortex_left
81,30,59,3.364102602005,-10.9029064774513,2.70258656144142,5.459,right Molecular Layer of the Cerebellum
23,112,60,-6.15384641289711,2.54127913713455,2.8663796633482,5.431, Agranular Dysgranular Insular Cortex_left
15,70,40,-7.46666696667671,-4.34476715326309,-0.409482374787331,5.346,left Ectorhinal Cortex_left
105,60,39,7.30256426334381,-5.98430198431015,-0.573275476694107,5.102, Agranular Dysgranular Insular Cortex_left
99,37,30,6.31794884800911,-9.75523209571838,-2.04741339385509,4.78,right Granule Cell Level of the Cerebellum
31,33,57,-4.84102585911751,-10.4110460281372,2.37500035762787,4.148,left Molecular Layer of the Cerebellum_left
35,20,24,-4.18461558222771,-12.5424413084984,-3.03017200529575,3.78,left Inferior Cerebellar Peduncle/Spinal Trigeminal Tract_left
57,171,65,-0.574359059333801,12.2145346403122,3.68534517288208,3.128,left Olfactory Bulb_left
54,128,44,-1.06666676700115,5.16453486680984,0.245690032839775,3.091,left Olfactory Bulb_left
94,77,53,5.49743600189686,-3.19709277153015,1.71982795000076,2.951,right Primary Auditory Cortex
62,135,68,0.24615378677845,6.31220924854279,4.17672447860241,2.806, Agranular Dysgranular Insular Cortex_left
16,95,33,-7.30256439745426,-0.245930075645447,-1.55603408813477,2.649, Agranular Dysgranular Insular Cortex_left
77,38,14,2.7076923251152,-9.59127861261368,-4.66810302436352,2.529, Agranular Dysgranular Insular Cortex_left
55,73,66,-0.902564197778702,-3.85290670394897,3.84913827478886,-8.938,left Retrosplenial Granular Cortex Part B_left
47,45,53,-2.2153847515583,-8.44360423088074,1.71982795000076,-7.788,left Molecular Layer of the Cerebellum_left
59,17,24,-0.246153920888901,-13.0343017578125,-3.03017200529575,-6.808,right Periventricular Grey
28,62,50,-5.33333356678486,-5.65639501810074,1.22844864428043,-6.79,left Subiculum_left
67,77,24,1.0666666328907,-3.19709277153015,-3.03017200529575,-6.76,right Hypothalamic Region
57,45,22,-0.574359059333801,-8.44360423088074,-3.35775820910931,-6.674,left Brainstem_left
87,56,47,4.34871801733971,-6.64011591672897,0.737069338560104,-6.557,right Perirhinal Area 36
80,30,46,3.20000003278255,-10.9029064774513,0.573276236653328,-6.24,right Molecular Layer of the Cerebellum
53,120,31,-1.2307693362236,3.8529070019722,-1.88362029194832,-5.795,left Basal Forebrain Region_left
24,86,67,-5.98974384367466,-1.7215114235878,4.01293137669563,-5.689,left Primary Somatosensory Cortex Barrel field_left
72,147,65,1.88717947900295,8.27965104579926,3.68534517288208,-5.255, Agranular Dysgranular Insular Cortex_left
58,22,54,-0.410256490111351,-12.214534342289,1.88362105190754,-5.249,right Molecular Layer of the Cerebellum
91,106,66,5.00512829422951,1.55755823850632,3.84913827478886,-5.202,right Primary Somatosensory Cortex Dysgranular
21,32,53,-6.48205155134201,-10.5749995112419,1.71982795000076,-5.025, Agranular Dysgranular Insular Cortex_left
89,124,44,4.67692315578461,4.50872093439102,0.245690032839775,-4.926,right Agranular Insular Cortex
76,115,18,2.54358975589275,3.03313958644867,-4.01293061673641,-4.857, Agranular Dysgranular Insular Cortex_left
22,31,25,-6.31794898211956,-10.738952994346599,-2.86637890338898,-4.835, Agranular Dysgranular Insular Cortex_left
73,102,50,2.0512820482254,0.901744306087494,1.22844864428043,-4.745,right Descending Corticofugal Pathways and Globus Pallidum
26,106,32,-5.66153870522976,1.55755823850632,-1.71982719004154,-4.725,left Entorhinal Cortex_left
98,87,21,6.15384627878666,-1.55755794048309,-3.52155131101608,-4.673, Agranular Dysgranular Insular Cortex_left
47,135,59,-2.2153847515583,6.31220924854279,2.70258656144142,-4.347,left Primary Motor Cortex_left
18,69,28,-6.97435925900936,-4.5087206363678,-2.37499959766865,-3.917,left Lateral Entorhinal Cortex Internal part_left
45,165,56,-2.5435898900032,11.230813741684,2.21120725572109,-3.465, Agranular Dysgranular Insular Cortex_left
68,152,41,1.23076920211315,9.09941846132278,-0.245689272880554,-2.822, Agranular Dysgranular Insular Cortex_left
