d1,d2,d3,x,y,z,value,label,label_clean,Model,ROI_model
70,92,21,1.55897434055805,-0.737790524959564,-3.52155131101608,9.499, Agranular Dysgranular Insular Cortex_left,agranular_dysgranular_insular_cortex_left,Lmod1_peaks,agranular_dysgranular_insular_cortex_left_Lmod1_peaks
83,75,72,3.69230774044991,-3.52499973773956,4.83189688622952,7.461,right Primary Visual Cortex,right_primary_visual_cortex,Lmod1_peaks,right_primary_visual_cortex_Lmod1_peaks
47,46,56,-2.2153847515583,-8.27965074777603,2.21120725572109,7.443,left Molecular Layer of the Cerebellum_left,left_molecular_layer_of_the_cerebellum_left,Lmod1_peaks,left_molecular_layer_of_the_cerebellum_left_Lmod1_peaks
87,88,39,4.34871801733971,-1.39360445737839,-0.573275476694107,7.414,right Striatum,right_striatum,Lmod1_peaks,right_striatum_Lmod1_peaks
85,45,37,4.02051287889481,-8.44360423088074,-0.90086168050766,7.341,right Middle Cerebellar Peduncle ,right_middle_cerebellar_peduncle,Lmod1_peaks,right_middle_cerebellar_peduncle_Lmod1_peaks
14,86,40,-7.63076953589916,-1.7215114235878,-0.409482374787331,7.223,left Primary Auditory Cortex_left,left_primary_auditory_cortex_left,Lmod1_peaks,left_primary_auditory_cortex_left_Lmod1_peaks
68,111,63,1.23076920211315,2.37732565402985,3.35775896906853,6.639,right Primary Cingular Cortex,right_primary_cingular_cortex,Lmod1_peaks,right_primary_cingular_cortex_Lmod1_peaks
39,45,26,-3.52820530533791,-8.44360423088074,-2.7025858014822,5.581,left Brainstem_left,left_brainstem_left,Lmod1_peaks,left_brainstem_left_Lmod1_peaks
49,80,54,-1.8871796131134,-2.70523232221603,1.88362105190754,5.443,left Dentate Gyrus_left,left_dentate_gyrus_left,Lmod1_peaks,left_dentate_gyrus_left_Lmod1_peaks
43,9,33,-2.8717950284481,-14.3459296226501,-1.55603408813477,5.371, Agranular Dysgranular Insular Cortex_left,agranular_dysgranular_insular_cortex_left_2,Lmod1_peaks,agranular_dysgranular_insular_cortex_left_2_Lmod1_peaks
34,79,20,-4.34871815145016,-2.86918580532074,-3.68534441292286,5.325,left Entorhinal Cortex_left,left_entorhinal_cortex_left,Lmod1_peaks,left_entorhinal_cortex_left_Lmod1_peaks
38,99,70,-3.69230787456036,0.409883856773376,4.5043106824159604,5.304,left Primary Somatosensory Cortex Forelimb_left,left_primary_somatosensory_cortex_forelimb_left,Lmod1_peaks,left_primary_somatosensory_cortex_forelimb_left_Lmod1_peaks
67,61,16,1.0666666328907,-5.82034850120544,-4.34051682054996,4.967, Agranular Dysgranular Insular Cortex_left,agranular_dysgranular_insular_cortex_left_3,Lmod1_peaks,agranular_dysgranular_insular_cortex_left_3_Lmod1_peaks
51,143,64,-1.5589744746685,7.62383711338043,3.5215520709753,4.723,left Frontal Association Cortex_left,left_frontal_association_cortex_left,Lmod1_peaks,left_frontal_association_cortex_left_Lmod1_peaks
16,44,35,-7.30256439745426,-8.60755771398544,-1.22844788432121,4.653,left Granule Cell Level of the Cerebellum_left,left_granule_cell_level_of_the_cerebellum_left,Lmod1_peaks,left_granule_cell_level_of_the_cerebellum_left_Lmod1_peaks
80,29,61,3.20000003278255,-11.066859960556,3.03017276525497,4.602,right Molecular Layer of the Cerebellum,right_molecular_layer_of_the_cerebellum,Lmod1_peaks,right_molecular_layer_of_the_cerebellum_Lmod1_peaks
95,117,48,5.66153857111931,3.36104655265808,0.900862440466881,4.588,right Primary Somatosensory Cortex Upperlips,right_primary_somatosensory_cortex_upperlips,Lmod1_peaks,right_primary_somatosensory_cortex_upperlips_Lmod1_peaks
55,171,61,-0.902564197778702,12.2145346403122,3.03017276525497,3.937,left Olfactory Bulb_left,left_olfactory_bulb_left,Lmod1_peaks,left_olfactory_bulb_left_Lmod1_peaks
32,126,64,-4.67692328989506,4.83662790060043,3.5215520709753,3.698, Agranular Dysgranular Insular Cortex_left,agranular_dysgranular_insular_cortex_left_4,Lmod1_peaks,agranular_dysgranular_insular_cortex_left_4_Lmod1_peaks
24,103,24,-5.98974384367466,1.0656977891922,-3.03017200529575,3.653, Agranular Dysgranular Insular Cortex_left,agranular_dysgranular_insular_cortex_left_5,Lmod1_peaks,agranular_dysgranular_insular_cortex_left_5_Lmod1_peaks
