Original Atlas,Left Hemisphere Label,Right Hemisphere Label,Matter,Territories,System,Region of interest
Tohoku,11,12,Grey Matter,Cortex,Insular System,Agranular Dysgranular Insular Cortex
Tohoku,21,22,Grey Matter,Cortex,Insular System,Agranular Insular Cortex
Tohoku,31,32,Grey Matter,Cortex,Amygdala,Amygdalohyppocampic Area
Tohoku,41,42,Grey Matter,Cortex,Amygdala,Amygdalopiriform Cortex
Waxholm,51,52,Grey Matter,Forebrain,Forebrain,Basal Forebrain Region
Waxholm,61,62,Grey Matter,Diencephalon,Thalamus,Bed Nucleus of the Stria Terminalis
Waxholm,71,72,Grey Matter,Cortex,Hippocampus Fomation,Cornu Ammonis 1
Waxholm,81,82,Grey Matter,Cortex,Hippocampus Fomation,Cornu Ammonis 2
Waxholm,91,92,Grey Matter,Cortex,Hippocampus Fomation,Cornu Ammonis 3
Waxholm,101,102,Grey Matter,Cortex,Hippocampus Fomation,Dentate Gyrus
Tohoku,111,112,Grey Matter,Cortex,Limbic System,Dorso Lateral Orbital Cortex
Tohoku,121,122,Grey Matter,Cortex,Insular System,Dysgranular Insular Cortex
Tohoku,131,132,Grey Matter,Cortex,Temporal System,Ectorhinal Cortex
Waxholm,141,142,Grey Matter,Cortex,Olfactory System,Entorhinal Cortex
Waxholm,151,152,Grey Matter,Cortex,Hippocampus Fomation,Fasciola Cinereum
Tohoku,161,162,Grey Matter,Cortex,Limbic System,Frontal Association Cortex
Waxholm,171,172,Grey Matter,Basal ganglia,Pallidum,Globus Pallidus
Waxholm,181,182,Grey Matter,Olfactive Bulb,Olfactory System,Glomerular Layer of the Accessory Olfactory Bulb
Waxholm,191,192,Grey Matter,Olfactive Bulb,Olfactory System,Glomerular Layer of the Olfactory Bulb
SIGMA,201,202,Grey Matter,Cortex,Temporal System,Lateral Temporal Associative Cortex
SIGMA,211,212,Grey Matter,Cortex,Auditory System,Lateral Primary Auditory Cortex
Waxholm,221,222,Grey Matter,Cerebellum,Sensory-Motor,Granule Cell Level of the Cerebellum
Waxholm,231,232,Grey Matter,Diencephalon,Hypothalamus,Hypothalamic Region
SIGMA,241,242,Grey Matter,Mesencephalon,Tegmentum,Interpeduncular Nucleus
Tohoku,251,252,Grey Matter,Cortex,Olfactory System,Lateral Entorhinal Cortex Internal part
Tohoku,261,262,Grey Matter,Cortex,Olfactory System,Lateral Entorhinal Cortex
Tohoku,271,272,Grey Matter,Cortex,Olfactory System,Lateral Entorhinal Cortex external part
Tohoku,281,282,Grey Matter,Cortex,Parietal System,Lateral Parietal Associative Cortex
Tohoku,291,292,Grey Matter,Cortex,Visual System,Lateral Secondary Visual Cortex
Tohoku,301,302,Grey Matter,Cortex,Olfactory System,Medial Entorhinal Cortex
Tohoku,311,312,Grey Matter,Cortex,Parietal System,Medial Parietal Associative Cortex
Tohoku,321,322,Grey Matter,Cortex,Visual System,Medio Lateral Secondary Visual Cortex
Tohoku,331,332,Grey Matter,Cortex,Visual System,Medio Medial Secondary Visual Cortex
Waxholm,341,342,Grey Matter,Cerebellum,Sensory-Motor,Molecular Layer of the Cerebellum
Waxholm,351,352,Grey Matter,Olfactive Bulb,Olfactory System,Olfactory Bulb
SIGMA,361,362,Grey Matter,Cortex,Limbic System,Orbitofrontal Region
Waxholm,371,372,Grey Matter,Cortex,Hippocampus Fomation,Parasubiculum
Tohoku,381,382,Grey Matter,Cortex,Parietal System,Parietal Cortex Postero Caudal Part
Tohoku,391,392,Grey Matter,Cortex,Parietal System,Parietal Cortex Postero Dorsal Part
Tohoku,401,402,Grey Matter,Cortex,Parietal System,Parietal Cortex Postero Rostral
Waxholm,411,412,Grey Matter,Diencephalon,Tegmentum,Periaqueductal Gray
Waxholm,421,422,Grey Matter,Cortex,Olfactory System,Perirhinal Area 35
Waxholm,431,432,Grey Matter,Cortex,Olfactory System,Perirhinal Area 36
Tohoku,441,442,Grey Matter,Cortex,Olfactory System,Perirhinal Cortex
Tohoku,451,452,Grey Matter,Cortex,Insular System,Posterior Agralunar Insular Cortex
SIGMA,461,462,Grey Matter,Cortex,Limbic System,PreLimbic System
Waxholm,471,472,Grey Matter,Cortex,Hippocampus Fomation,Presubiculum
Waxholm,481,482,Grey Matter,Diencephalon,Visual System,Pretectal Region
Tohoku,491,492,Grey Matter,Cortex,Auditory System,Primary Auditory Cortex
Tohoku,501,502,Grey Matter,Cortex,Cingular System,Primary Cingular Cortex
Tohoku,511,512,Grey Matter,Cortex,Motor System,Primary Motor Cortex
Tohoku,521,522,Grey Matter,Cortex,Somatosensory System,Primary Somatosensory Cortex Barrel field
Tohoku,531,532,Grey Matter,Cortex,Somatosensory System,Primary Somatosensory Cortex Dysgranular
Tohoku,541,542,Grey Matter,Cortex,Somatosensory System,Primary Somatosensory Cortex Dysgranular Zone 0
Tohoku,551,552,Grey Matter,Cortex,Somatosensory System,Primary Somatosensory Cortex Forelimb
Tohoku,561,562,Grey Matter,Cortex,Somatosensory System,Primary Somatosensory Cortex Hindlimb
Tohoku,571,572,Grey Matter,Cortex,Somatosensory System,Primary Somatosensory Cortex Jaw
Tohoku,581,582,Grey Matter,Cortex,Somatosensory System,Primary Somatosensory Cortex
Tohoku,591,592,Grey Matter,Cortex,Somatosensory System,Primary Somatosensory Cortex Shoulder
Tohoku,601,602,Grey Matter,Cortex,Somatosensory System,Primary Somatosensory Cortex Trunk
Tohoku,611,612,Grey Matter,Cortex,Somatosensory System,Primary Somatosensory Cortex Upperlips
Tohoku,621,622,Grey Matter,Cortex,Visual System,Primary Visual Cortex Binocular Area
Tohoku,631,632,Grey Matter,Cortex,Visual System,Primary Visual Cortex
Tohoku,641,642,Grey Matter,Cortex,Visual System,Primary Visual Cortex Monocular Area
Tohoku,651,652,Grey Matter,Cortex,Retrosplenial System,Retosplenial Dysgranular Cortex
Tohoku,661,662,Grey Matter,Cortex,Retrosplenial System,Retrosplenial Granular Cortex Part A
Tohoku,671,672,Grey Matter,Cortex,Retrosplenial System,Retrosplenial Granular Cortex Part B
Tohoku,681,682,Grey Matter,Cortex,Auditory System,Secondary Auditory Cortex Dorsal Part
Tohoku,691,692,Grey Matter,Cortex,Auditory System,Secondary Auditory Cortex Ventral Part
Tohoku,701,702,Grey Matter,Cortex,Cingular System,Secondary Cingular Cortex
Tohoku,711,712,Grey Matter,Cortex,Motor System,Secondary Motor Cortex
