Left Hemisphere Label,Right Hemisphere Label,Matter,Territories,System,Region of interest
increased,none,Gray,Cerebellum,Cerebellum,Cb_8
increased,none,Gray,Cerebellum,Cerebellum,Cb_9
increased,none,Gray,Cerebellum,Cerebellum,Cb_10
increased,increased,Gray,Rhombencephalon,Reticular nuclei,PM
decreased,none,Gray,Rhombencephalon,Reticular nuclei,N12
increased,none,Gray,Cerebellum,Cerebellum,Cb_3
increased,none,Gray,Cerebellum,Cerebellum,Cb_4
increased,none,Gray,Rhombencephalon,Reticular nuclei,N7
none,decreased,Gray,Hippocampus,Hippocampus,PrS
decreased,none,Gray,Cortex,Somatosensory,S1
none,decreased,Gray,Diencephalon,Thalamus,VL
decreased,decreased,Gray,Sub-pallium,Striatum,Cpu
decreased,none,Gray,Cortex,Insular,GI
none,increased,Gray,Cortex,Motor,M1
increased,none,White,CC,Corpus,fmi
